NAMEREC;CONTRACT2;CLIENTNAME;STREET;HOME;SERVICENUMBER;PLACE;REGISTERTYPENAME;FACTORYNUM;MOUNTDATE;PLOMBA
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Шуменская;33;31312;;ВМХ (г.Москва);9845510;01.01.2008;00219          
Калининский район;71083;"ООО УК ЖЭУ ""Территория""";Косарева;71;24134;;МТК  / MTW (Zenner) (Германия);05108328;01.01.2006;4              
Советский район;71097;"ООО УК ""ПЖРЭУ""";Техникумовская;19;39021;;ВМХ (г.Москва);5000259;06.12.2010;31273128       
Курчатовский район;71187;"ООО УК ""СОЮЗ""";Островского;7;2512;;МТК / MTW (Zenner) (Германия);03927090;13.12.2006;00565          
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Зальцмана;34;37820;;ВСКМ (г.Москва);000960;29.11.2010;31277086       
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Трашутина;13;34782;;ВСКМ (г.Москва);157661;01.12.2009;6985           
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Трашутина;21;34784;;ВСКМ (г.Москва);157660;01.12.2009;6976           
Центральный район;71069;"ООО УК ""Алёна""";Володарского;13;3998;;ВСКМ (г.Москва);118104;15.04.2010;05291          
Калининский район;71066;"ООО ""Содружество""";Калинина(Калининский);19;1714;;Minomess (Minol) (Германия);05000654;17.09.2012;03499          
Советский район;71117;"ООО Фирма ""Уют-Сервис""";Загородная;12;33531;;WP / WPH  (ZENNER) (германия);03150324;04.12.2008;2971           
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Зальцмана;36;36855;;ВМГ (г. Москва);090112642;19.08.2010;7480           
Советский район;71112;"ООО ""Унита""";Доватора;16Б;4460;;МТК / MTW (Zenner) (Германия);5768373;29.09.2011;4              
Советский район;71056;"ООО ""ДЕМЕТРА""";8 Марта(Новосинеглазово);14А;25343;;МТК  / MTW (Zenner) (Германия);20115597834;30.09.2011;20             
Советский район;71055;"ООО ""Авилум""";Троицкая;1А;4688;;СВМ (Бетар)(г.Чистополь);6103;03.10.2011;03409          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Цвиллинга;55Б;1429;;СКБ (г.Москва);93585;02.03.2011;1              
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Воровского;41Б;1174;;ВМХ (г.Москва);090042221;21.06.2011;20             
Советский район;71178;"ООО УК ""ЮжУралЖКХ""";Российская;303;20772;;СВМТ (Бетар) (г.Чистополь);006526;18.02.2011;1              
Ленинский район;71052;"ООО ""Гефест""";Энергетиков;23Б;38770;;МТК / MTW (Zenner) (Германия);57684008;13.12.2011;7031           
Курчатовский район;71096;"ООО УК ""ПЖРЭУ Курчатовского района""";Комсомольский;22;902;;ВСХН (POWOGAZ);11621721;04.10.2011;00122          
Калининский район;71066;"ООО ""Содружество""";Победы;157;2173;;МТК / MTW (Zenner) (Германия);07461931;11.06.2008;03440          
Ленинский район;71052;"ООО ""Гефест""";Масленникова;8А;4984;;СВМ (Бетар) (г.Чистополь);05665;12.07.2010;31276051сер    
Ленинский район;71088;"ООО УК ""Ленком""";Барбюса;61;509;;ВТ / ВТГ (Метер)(С.Петербург);8000211;27.06.2011;31276628сер    
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Новороссийская;40;8108;;СТВ/ СТВХ (СТВГ) (азербайжан);041672;14.07.2011;4298сер        
Курчатовский район;71054;"ООО ""Мастер-Дом""";Салавата Юлаева;20;29158;;ВМХ (г.Москва);9878488;15.02.2011;1060           
Калининский район;71030;"ООО ЖКО ""ДОКА""";Братьев Кашириных;88;28475;;ВМХ (г.Москва);9897324;24.02.2011;1св            
Центральный район;71144;"ТСЖ ""Победа""";Энгельса;40;1922;;СВМТ (Бетар) (г.Чистополь);006955;20.12.2010;1              
Тракторозаводский район;71070;"ООО УК ""Альтернатива""";Чоппа;7;21105;;ВМХ (г.Москва);090091981;01.01.2011;6256           
Тракторозаводский район;71034;"ООО ""ЖЭУ-1""";40 лет Октября;20;23549;;Minomess (Minol) (Германия);000860;01.01.2011;31277510       
Тракторозаводский район;71093;"Общество с ограниченной ответственностью УК ""Инициатива""";Культуры;98А;24086;;СКБ (г.Москва);41947;01.01.2011;31277599       
Тракторозаводский район;71042;"ООО ""ЖЭУ-11""";Савина;10;24031;;СКБ (г.Москва);15732;01.01.2011;31277573       
Тракторозаводский район;71040;"ООО ""ЖЭУ-8""";Бажова;38;23897;;СКБ (г.Москва);41838;01.01.2011;31277569       
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Кирова;130;18242;;МТК  / MTW (Zenner) (Германия);6021311;03.11.2011;20             
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Пушкина;69А;20770;;МТК  / MTW (Zenner) (Германия);5766433;03.11.2011;669            
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Овчинникова;5;1547;;МТК  / MTW (Zenner) (Германия);6021072;02.11.2011;20             
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Кропоткина;10;4327;;СВМ (Бетар) (г.Чистополь);012373;24.03.2011;1              
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Цвиллинга;47В;34504;;МТК / MTW (Zenner) (Германия);11610980;09.12.2011;"05606; 05656   "
Советский район;71055;"ООО ""Авилум""";Мебельная;85;25333;;МТК / MTW  (Zenner) (Германия);6106697;07.10.2011;03498          
Советский район;71055;"ООО ""Авилум""";Мебельная;37;4539;;МТК / MTW  (Zenner) (Германия);0105525;03.10.2011;03401          
Советский район;71055;"ООО ""Авилум""";Белорецкая;70;39835;;МТК / MTW  (Zenner) (Германия);106716;03.10.2011;03459          
Ленинский район;71050;"ООО ""Титан""";Трубников;13;24788;;МТК / MTW  (Zenner) (Германия);6925727;08.11.2012;5278син        
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Орджоникидзе;29;14092;;СКБ (г.Москва);31597-05;05.12.2011;03229          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Цвиллинга;62;38489;;МТК / MTW (Zenner) (Германия);5767374;13.09.2011;05893          
Советский район;71055;"ООО ""Авилум""";Белорецкая;70;25325;;МТК / MTW  (Zenner) (Германия);106716;03.10.2011;03459          
Советский район;71055;"ООО ""Авилум""";Белорецкая;62;4412;;МТК / MTW (Zenner) (Германия);10555790;03.10.2011;05198          
Советский район;71119;"ООО ""Эко-Дом""";Кузнецова;3А;39330;;WP / WPH  (ZENNER) (германия);05001291;22.08.2011;05927          
Металлургический район;71093;"Общество с ограниченной ответственностью УК ""Инициатива""";Байкальская;35;6929;общежитие бойлерная хвс;Minomess (Minol) (Германия);1008001348;01.06.2011;03343          
Советский район;71190;"ООО ""ГУК""";Российская;297;36972;;РМ- 5 - Т;004085;13.05.2011;31279925       
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Марченко;2;28798;;ВМХ (г.Москва);070028189;14.01.2008;2128           
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Кулибина;25;29953;;ВСКМ (г.Москва);090622;14.01.2008;2129           
Советский район;71071;"ООО УК ""Альфа+""";Курчатова;1А;24219;;ВСКМ (г.Москва);01513;30.10.2013;811            
Металлургический район;71022;"ООО ""Доверие+5""";Металлургов;26;38149;;ВМГ (г. Москва);090100204;21.07.2011;03101          
Калининский район;71066;"ООО ""Содружество""";Каслинская;56А;1712;;МТК / MTW (Zenner) (Германия);07467498;13.04.2012;20             
Калининский район;71066;"ООО ""Содружество""";Калинина(Калининский);9;1716;;МТК / MTW (Zenner) (Германия);07461932;13.04.2012;20             
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Свободы;74;40088;;МТК / MTW (Zenner) (Германия);6036384;27.05.2014;"03105;03951    "
Советский район;71056;"ООО ""ДЕМЕТРА""";Дубовая;18А;25286;;МТК  / MTW (Zenner) (Германия);6728165;06.07.2012;10434          
Советский район;71056;"ООО ""ДЕМЕТРА""";Якорная;13;25322;;МТК / MTW (Zenner) (Германия);6512249;06.07.2012;02799          
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Агалакова;42;340;;МТК / MTW (Zenner) (Германия);6036102;02.07.2012;2748           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Руставели;28;417;;WP / WPH  (ZENNER) (германия);05002118;05.07.2012;3986           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Пограничная;23;420;;WP / WPH  (ZENNER) (германия);05002968;05.07.2012;3971           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Тухачевского;8;424;;WP / WPH  (ZENNER) (германия);05000985;05.07.2012;3974           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Руставели;4;360;;WP / WPH  (ZENNER) (германия);05003113;05.07.2012;2953           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энергетиков;12;41373;;МТК / MTW (Zenner) (Германия);6036376;05.07.2012;3376           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энергетиков;10;41372;;МТК / MTW (Zenner) (Германия);6036254;05.07.2012;2661           
Советский район;71056;"ООО ""ДЕМЕТРА""";Огневая;26;15798;;МТК  / MTW (Zenner) (Германия);6728197;13.07.2012;02713          
Советский район;71056;"ООО ""ДЕМЕТРА""";Дубовая;2;25273;;МТК  / MTW (Zenner) (Германия);6728209;13.07.2012;02777          
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энергетиков;2;41370;;МТК / MTW (Zenner) (Германия);6036344;05.07.2012;3396           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Пограничная;19;419;;WP / WPH (ZENNER)(Германия);06501004;05.07.2012;3962           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Пограничная;19;40254;;WP / WPH (ZENNER)(Германия);06501001;05.07.2012;3962           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Пограничная;32;423;;МТК / MTW (Zenner) (Германия);6033533;05.07.2012;4204           
Ленинский район;71072;"ООО ""УК ""Альфа""";Электровозная 5-я;1А;21919;;МТК / MTW (Zenner) (Германия);6512347;20.08.2012;4966           
Ленинский район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Пограничная;32;40251;;МТК / MTW (Zenner) (Германия);6035691;05.07.2012;4238           
Тракторозаводский район;71043;"ООО ""ЖЭУ-16""";Краснофлотская;65;40221;;WP / WPH  (ZENNER) (германия);05000227;05.07.2012;3094           
Тракторозаводский район;71162;"ТСН ""ТСЖ Южноуральская, 11""";Южноуральская;11;24114;;МТК / MTW (Zenner) (Германия);6036210;05.07.2012;4              
Тракторозаводский район;71162;"ТСН ""ТСЖ Южноуральская, 11""";Южноуральская;11;40224;;WP / WPH  (ZENNER) (германия);05002980;23.07.2012;3019           
Советский район;71066;"ООО ""Содружество""";Елькина;92В;1099;;МТК / MTW (Zenner) (Германия);074467476;20.04.2012;05384          
Металлургический район;71022;"ООО ""Доверие+5""";Пекинская;25Б;38897;;ВСХН (POWOGAZ);11647589;16.03.2012;02618          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Российская;297А;1245;;ВСХ / ВСГ/ ВСТ (г.Мытищи);11535942;23.02.2012;03585          
Курчатовский район;71066;"ООО ""Содружество""";Молодогвардейцев;25;879;;WP / WPH  (ZENNER) (германия);05000910;12.04.2012;4127           
Калининский район;71066;"ООО ""Содружество""";Кирова;9/4;1715;;МТК / MTW (Zenner) (Германия);07467474;21.05.2012;03591          
Калининский район;71066;"ООО ""Содружество""";Каслинская;56;1713;;СВМТ (Бетар) (г.Чистополь);011111;21.05.2012;02999          
Ленинский район;71049;"ООО ""Аквамарин""";Суркова;5А;40179;;ЕТК (Minol) (Германия);5767102;07.06.2012;2972           
Ленинский район;71049;"ООО ""Аквамарин""";Суркова;5А;41183;;СГВ (Бетар) (г.Чистополь);17222096;07.06.2012;2824           
Курчатовский район;71078;"ООО ""УК ""Жилищник-С""";Комсомольский;32Д;31734;;ВМХ (г.Москва);700662-14;23.12.2011;11453          
Курчатовский район;71078;"ООО ""УК ""Жилищник-С""";Ворошилова;9Б;25175;;ВМХ (г.Москва);9470227;23.12.2011;4              
Тракторозаводский район;71010;"ООО ""Агентство ""Вертикаль""";Хохрякова;40;40174;;МТК  / MTW (Zenner) (Германия);11679152;22.05.2012;3021           
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Телевизионная;4А;20778;;МТК  / MTW (Zenner) (Германия);6020717;23.11.2011;4              
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Монакова;6А;25969;;МТК  / MTW (Zenner) (Германия);6021120;23.11.2011;4              
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Российская;220;1138;;МТК  / MTW (Zenner) (Германия);6020817;23.11.2011;4              
Курчатовский район;71066;"ООО ""Содружество""";Свердловский;8В;38795;;WP / WPH  (ZENNER) (германия);5003279;15.12.2011;4              
Тракторозаводский район;71082;"ООО УК ЖЭУ ""ТЕРРА-2""";Трашутина;43;41061;;ВСКМ (г.Москва);433276;27.12.2012;4672           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Сталеваров;41;41744;;МТК  / MTW (Zenner) (Германия);03926121;20.02.2013;0816           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Сталеваров;43;41746;;МТК / MTW (Zenner) (Германия);03927089;20.02.2013;0779           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Винницкая;7;41747;;МТК  / MTW (Zenner) (Германия);03926122;20.02.2013;0763           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Хлебозаводская;16;41748;;МТК / MTW (Zenner) (Германия);03927073;19.02.2013;0814           
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Энтузиастов;16;954;;МТК  / MTW (Zenner) (Германия);04697174;12.03.2013;01707          
Советский район;71095;"ООО УК ""НОВОСТРОЙ""";Сулимова;75А;11070;;WP/WPH (ZENNER) (Германия);12025384;23.04.2013;04298          
Советский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Курчатова;8;41907;;МТК  / MTW (Zenner) (Германия);6728208;11.03.2013;01787          
Ленинский район;71089;"ООО УК ""Ленар""";Вагнера;84;117;;WP/WPH (ZENNER) (Германия);12025319;17.05.2013;5079           
Ленинский район;71089;"ООО УК ""Ленар""";Дзержинского;111;133;;МТК / MTW (Zenner) (Германия);1210053643;17.05.2013;5011           
Ленинский район;71089;"ООО УК ""Ленар""";Дзержинского;109;132;;МТК / MTW (Zenner) (Германия);1210053587;17.05.2013;5005           
Ленинский район;71089;"ООО УК ""Ленар""";Дзержинского;121;137;;WP / WPH  (ZENNER) (германия);11070302;17.05.2013;05985          
Ленинский район;71089;"ООО УК ""Ленар""";Дзержинского;107;131;;МТК / MTW (Zenner) (Германия);1210053588;17.05.2013;5094           
Ленинский район;71052;"ООО ""Гефест""";Суркова;14;4986;;МТК / MTW (Zenner) (Германия);1210053599;30.04.2013;0347           
Ленинский район;71049;"ООО ""Аквамарин""";Суркова;16;4987;;WP / WPH  (ZENNER) (германия);11058603;30.04.2013;0446           
Ленинский район;71052;"ООО ""Гефест""";Масленникова;9;5205;;WPV150/40 (Комбин) (Германия);11057434;30.04.2013;0450           
Ленинский район;71050;"ООО ""Титан""";Нахимова;2;41891;;WP / WPH  (ZENNER) (германия);11058610;17.05.2013;0444           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Южный Бульвар;17;492;;МТК / MTW (Zenner) (Германия);1210053546;30.04.2013;0431           
Ленинский район;71109;"ООО УК ""ЮЖУРАЛСТРОЙСЕРВИС""";Южный Бульвар;19;493;;МТК / MTW (Zenner) (Германия);1210053595;30.04.2013;0445           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Кудрявцева;32А;41919;;WP / WPH  (ZENNER) (германия);11058604;23.05.2013;5054           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Кудрявцева;36;6445;;МТК  / MTW (Zenner) (Германия);1210055346;22.05.2013;5053           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Кудрявцева;36;41917;;WP / WPH  (ZENNER) (германия);11057437;23.05.2013;5059           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Кудрявцева;38;6444;;МТК / MTW (Zenner) (Германия);1210053625;22.05.2013;5039           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Кудрявцева;34;6446;;МТК  / MTW (Zenner) (Германия);1210055447;22.05.2013;5057           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Артиллерийская;63А;41921;;МТК / MTW (Zenner) (Германия);1210053623;23.05.2013;5031           
Тракторозаводский район;71041;"ООО ""ЖЭУ-10""";Либединского;47;6501;;WP / WPH  (ZENNER) (германия);11057460;22.05.2013;6603           
Калининский район;71119;"ООО ""Эко-Дом""";Чичерина;29;2020;;WP / WPH  (ZENNER) (германия);05000949;06.12.2012;5214           
Калининский район;71006;"ЖСК ""Старт""";Чичерина;29;2020;;WP / WPH  (ZENNER) (германия);05000949;06.12.2012;5214           
Калининский район;71119;"ООО ""Эко-Дом""";Молодогвардейцев;60;1731;;WP / WPH  (ZENNER) (германия);11024747;07.12.2012;5236           
Центральный район;71113;"ООО УО ""Ремжилзаказчик Советского района""";Пушкина;30;3804;;WP/WPH (ZENNER) (Германия);04697186;07.05.2013;"05071; 05085   "
Центральный район;71095;"ООО УК ""НОВОСТРОЙ""";Энгельса;32А;7807;;WP/WPH (ZENNER) (Германия);11014693;23.04.2013;"04235; 04240   "
Центральный район;71095;"ООО УК ""НОВОСТРОЙ""";Труда;5А;20928;;WP/WPH (ZENNER) (Германия);12025316;30.04.2013;04241          
Центральный район;71098;"ООО УК ""Ремжилзаказчик Центрального района""";Либкнехта;22;2205;;МТК / MTW (Zenner) (Германия);1210048383;07.05.2013;04230          
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Сталеваров;39;41739;;МТК / MTW (Zenner) (Германия);03927087;20.02.2013;0782           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Сталеваров;39;40810;;МТК / MTW (Zenner) (Германия);03927121;20.02.2013;0781           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Сталеваров;39;40811;;МТК / MTW (Zenner) (Германия);13927130;20.02.2013;0769           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Молодежная;22;41742;;МТК / MTW (Zenner) (Германия);03930294;20.02.2013;0806           
Калининский район;71103;"ООО УК ""Строитель-97""";40-летия Победы;31;25621;;ВМХ (г.Москва);961010204;14.03.2013;005658         
Калининский район;71103;"ООО УК ""Строитель-97""";40-летия Победы;29Б;26561;;ВМХ (г.Москва);9782174-05;14.03.2013;005636         
Калининский район;71095;"ООО УК ""НОВОСТРОЙ""";250-летия Челябинска;15А;12797;;WP / WPH  (ZENNER) (германия);12034539;14.03.2013;005610         
Калининский район;71054;"ООО ""Мастер-Дом""";Свердловский;35;41326;;ВСКМ (г.Москва);169345;27.02.2013;001658         
Курчатовский район;71108;"ООО УК ""ЮУ КЖСИ""";Краснопольский;27;38882;;МТК / MTW (Zenner) (Германия);6036142;10.05.2012;2              
Курчатовский район;71196;"Товарищество собственников жилья ""Сириус""";Скульптора Головницкого;2;41134;;ВСХ (г.Мытищи);12507556;25.06.2012;11514          
Ленинский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Вагнера;72В;36975;;МТК / MTW  (Zenner) (Германия);1310001238;19.04.2013;0362           
Ленинский район;71100;"ООО УК ""СОЗВЕЗДИЕ""";Вагнера;1А;36976;;МТК  / MTW (Zenner) (Германия);1210055348;19.04.2013;0343           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Металлургов;3Б;22947;;МТК / MTW (Zenner) (Германия);03927095;05.04.2013;0726           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Хлебозаводская;6;23011;;МТК  / MTW (Zenner) (Германия);03930286;05.04.2013;0742           
Советский район;71112;"ООО ""Унита""";Днепропетровская;4;17030;;МТК  / MTW (Zenner) (Германия);03930330;11.04.2013;04267          
Советский район;71112;"ООО ""Унита""";Кузнецова;5;4701;;МТК  / MTW (Zenner) (Германия);04697170;11.04.2013;04261          
Советский район;71056;"ООО ""ДЕМЕТРА""";Кузнецова;3;4728;;МТК  / MTW (Zenner) (Германия);03927162;11.04.2013;04264          
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Молодежная;11;41752;;МТК / MTW (Zenner) (Германия);1210040556;19.02.2013;0813           
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Аносова;7;41754;;МТК / MTW (Zenner) (Германия);03927120;19.02.2013;004421         
Металлургический район;71062;"ООО ""Ремжилзаказчик-ЖЭУ №5""";Большевистская;4;41755;;МТК / MTW (Zenner) (Германия);03927154;26.02.2013;0786           
Калининский район;71066;"ООО ""Содружество""";Набережная;12А;1718;;СВМТ (Бетар) (г.Чистополь);013611;05.03.2013;001811         
Калининский район;71066;"ООО ""Содружество""";Калинина(Калининский);2;2171;;ВСКМ (г.Москва);062756;05.03.2013;00205          
Ленинский район;71090;"ООО ""УК Ленинского района-7""";Гончаренко;93;461;;МТК / MTW (Zenner) (Германия);1210040766;15.03.2013;0693           
Ленинский район;71089;"ООО УК ""Ленар""";Гражданская;14;123;;ВСХН ( POWOGAZ);12600150;01.03.2013;0799           
Ленинский район;71089;"ООО УК ""Ленар""";Гражданская;25;125;;ВСХНК 50/20(комб.) (Powogas);12509911;01.03.2013;0776           
Ленинский район;71088;"ООО УК ""Ленком""";Гагарина;40А;13;;ВСХНК 50/20(комб.) (Powogas);12509896;01.03.2013;0779           
